Record_ID,Date,Region,Team,Opening_Backlog,Requests_Received,Total_Workload,Requests_Completed,Closing_Backlog,Incident_Count,High_Critical_Incidents,Average_Completion_Days,SLA_Compliance,Quality_Pass_Rate,Customer_Satisfaction,Staff_Utilisation,Completion_Rate
OPS-100146,2026-01-07,North East,Facilities Response,0,37,37,37,0,0,0,0.8,0.968,0.993,4.4,0.706,1.0
OPS-100147,2026-01-07,North East,Estates Support,135,40,175,18,157,0,0,8.0,0.6,0.961,2.5,0.709,0.103
OPS-100148,2026-01-07,North East,Workplace Projects,9,35,44,28,16,0,0,2.5,0.881,0.98,4.1,0.774,0.636
OPS-100149,2026-01-07,North West,Workplace Services,41,42,83,36,47,0,0,4.9,0.637,0.984,3.0,0.779,0.434
OPS-100150,2026-01-07,North West,Facilities Response,90,36,126,25,101,0,0,8.0,0.6,0.986,2.5,0.783,0.198
OPS-100151,2026-01-07,North West,Estates Support,133,40,173,19,154,0,0,8.0,0.6,0.965,2.5,0.667,0.11
OPS-100152,2026-01-07,North West,Workplace Projects,0,28,28,28,0,0,0,1.2,0.97,1.0,4.4,0.723,1.0
OPS-100153,2026-01-07,Midlands,Workplace Services,2,31,33,33,0,0,0,1.4,0.94,0.974,4.6,0.814,1.0
OPS-100154,2026-01-07,Midlands,Facilities Response,57,40,97,35,62,0,0,6.5,0.6,0.969,2.5,0.788,0.361
OPS-100155,2026-01-07,Midlands,Estates Support,10,33,43,29,14,0,0,2.2,0.913,0.985,3.8,0.788,0.674
OPS-100156,2026-01-07,Midlands,Workplace Projects,0,20,20,20,0,0,0,2.4,0.949,1.0,4.2,0.72,1.0
OPS-100157,2026-01-07,South West,Workplace Services,82,36,118,24,94,0,0,8.0,0.6,1.0,2.5,0.703,0.203
OPS-100158,2026-01-07,South West,Facilities Response,0,56,56,48,8,1,0,1.9,0.943,0.949,4.0,0.689,0.857
OPS-100159,2026-01-07,South West,Estates Support,1,45,46,46,0,0,0,1.2,0.998,0.978,4.7,0.649,1.0
OPS-100160,2026-01-07,South West,Workplace Projects,0,36,36,36,0,1,0,1.3,0.975,0.982,4.3,0.673,1.0
OPS-100161,2026-01-07,South East,Workplace Services,25,68,93,50,43,0,0,5.3,0.712,0.963,3.2,0.669,0.538
OPS-100162,2026-01-07,South East,Facilities Response,147,37,184,17,167,0,0,8.0,0.6,1.0,2.5,0.751,0.092
OPS-100163,2026-01-07,South East,Estates Support,35,58,93,57,36,0,0,4.5,0.772,0.985,3.1,0.695,0.613
OPS-100164,2026-01-07,South East,Workplace Projects,45,16,61,25,36,0,0,4.3,0.767,1.0,3.5,0.719,0.41
OPS-100165,2026-01-07,Wales,Workplace Services,97,28,125,27,98,0,0,8.0,0.6,0.988,2.5,0.771,0.216
OPS-100166,2026-01-07,Wales,Facilities Response,74,29,103,26,77,0,0,8.0,0.6,0.978,2.5,0.706,0.252
OPS-100167,2026-01-07,Wales,Estates Support,85,32,117,28,89,0,0,8.0,0.6,0.974,2.5,0.755,0.239
OPS-100168,2026-01-07,Wales,Workplace Projects,0,26,26,26,0,0,0,1.3,0.976,1.0,4.1,0.74,1.0
OPS-100169,2026-01-08,Scotland,Workplace Services,45,28,73,30,43,1,1,5.2,0.623,0.975,2.9,0.705,0.411
OPS-100170,2026-01-08,Scotland,Facilities Response,0,40,40,40,0,1,0,2.0,0.933,0.991,4.5,0.71,1.0
OPS-100171,2026-01-08,Scotland,Estates Support,60,53,113,42,71,0,0,6.9,0.6,0.995,2.5,0.786,0.372
OPS-100172,2026-01-08,Scotland,Workplace Projects,0,17,17,17,0,0,0,1.3,0.965,1.0,4.5,0.777,1.0
OPS-100173,2026-01-08,North East,Workplace Services,0,22,22,22,0,0,0,1.9,0.958,0.967,4.6,0.692,1.0
OPS-100174,2026-01-08,North East,Facilities Response,0,40,40,40,0,0,0,1.7,0.967,0.975,4.4,0.706,1.0
OPS-100175,2026-01-08,North East,Estates Support,157,41,198,19,179,0,0,8.0,0.6,0.968,2.5,0.709,0.096
OPS-100176,2026-01-08,North East,Workplace Projects,16,33,49,29,20,0,0,3.0,0.878,0.964,3.9,0.774,0.592
OPS-100177,2026-01-08,North West,Workplace Services,47,54,101,38,63,0,0,6.5,0.6,0.99,2.5,0.779,0.376
OPS-100178,2026-01-08,North West,Facilities Response,101,29,130,27,103,0,0,8.0,0.6,0.99,2.5,0.783,0.208
OPS-100179,2026-01-08,North West,Estates Support,154,27,181,20,161,0,0,8.0,0.6,0.985,2.5,0.667,0.11
OPS-100180,2026-01-08,North West,Workplace Projects,0,30,30,30,0,0,0,1.2,0.933,0.986,4.8,0.723,1.0
OPS-100181,2026-01-08,Midlands,Workplace Services,0,48,48,48,0,0,0,1.5,0.962,0.958,4.4,0.814,1.0
OPS-100182,2026-01-08,Midlands,Facilities Response,62,48,110,30,80,1,1,8.0,0.6,0.976,2.5,0.788,0.273
OPS-100183,2026-01-08,Midlands,Estates Support,14,46,60,29,31,0,0,4.0,0.754,0.982,3.6,0.788,0.483
OPS-100184,2026-01-08,Midlands,Workplace Projects,0,24,24,24,0,0,0,1.8,0.997,0.951,4.5,0.72,1.0
OPS-100185,2026-01-08,South West,Workplace Services,94,34,128,28,100,1,0,8.0,0.6,1.0,2.5,0.703,0.219
OPS-100186,2026-01-08,South West,Facilities Response,8,58,66,57,9,0,0,2.8,0.909,0.971,4.5,0.689,0.864
OPS-100187,2026-01-08,South West,Estates Support,0,47,47,47,0,0,0,1.0,0.928,0.996,4.3,0.649,1.0
OPS-100188,2026-01-08,South West,Workplace Projects,0,32,32,32,0,0,0,1.4,0.993,0.997,4.7,0.673,1.0
OPS-100189,2026-01-08,South East,Workplace Services,43,44,87,55,32,0,0,4.0,0.8,1.0,3.7,0.669,0.632
OPS-100190,2026-01-08,South East,Facilities Response,167,62,229,17,212,0,0,8.0,0.6,0.995,2.5,0.751,0.074
OPS-100191,2026-01-08,South East,Estates Support,36,47,83,53,30,0,0,4.3,0.77,1.0,3.5,0.695,0.639
OPS-100192,2026-01-08,South East,Workplace Projects,36,42,78,27,51,1,0,5.0,0.622,0.97,2.7,0.719,0.346
OPS-100193,2026-01-08,Wales,Workplace Services,98,38,136,25,111,0,0,8.0,0.6,1.0,2.5,0.771,0.184
OPS-100194,2026-01-08,Wales,Facilities Response,77,36,113,25,88,0,0,8.0,0.6,0.955,2.5,0.706,0.221
OPS-100195,2026-01-08,Wales,Estates Support,89,30,119,32,87,0,0,8.0,0.6,0.965,2.5,0.755,0.269
OPS-100196,2026-01-08,Wales,Workplace Projects,0,17,17,17,0,0,0,1.6,0.968,0.973,4.5,0.74,1.0
OPS-100197,2026-01-09,Scotland,Workplace Services,43,40,83,37,46,0,0,5.3,0.71,0.986,3.0,0.705,0.446
OPS-100198,2026-01-09,Scotland,Facilities Response,0,38,38,38,0,0,0,0.7,0.979,0.98,4.6,0.71,1.0
OPS-100199,2026-01-09,Scotland,Estates Support,71,60,131,40,91,0,0,8.0,0.6,0.984,2.5,0.786,0.305
OPS-100200,2026-01-09,Scotland,Workplace Projects,0,25,25,25,0,0,0,1.6,0.989,0.982,4.5,0.777,1.0
OPS-100201,2026-01-09,North East,Workplace Services,0,33,33,33,0,0,0,1.7,0.984,0.979,4.5,0.692,1.0
OPS-100202,2026-01-09,North East,Facilities Response,0,20,20,20,0,0,0,1.4,0.975,0.962,4.4,0.706,1.0
OPS-100203,2026-01-09,North East,Estates Support,179,34,213,19,194,0,0,8.0,0.6,0.963,2.5,0.709,0.089
OPS-100204,2026-01-09,North East,Workplace Projects,20,34,54,29,25,0,0,3.7,0.854,0.995,3.7,0.774,0.537
OPS-100205,2026-01-09,North West,Workplace Services,63,55,118,35,83,1,0,8.0,0.6,0.963,2.5,0.779,0.297
OPS-100206,2026-01-09,North West,Facilities Response,103,36,139,22,117,0,0,8.0,0.6,1.0,2.5,0.783,0.158
OPS-100207,2026-01-09,North West,Estates Support,161,59,220,20,200,0,0,8.0,0.6,1.0,2.5,0.667,0.091
OPS-100208,2026-01-09,North West,Workplace Projects,0,23,23,23,0,0,0,2.2,0.938,0.966,4.6,0.723,1.0
OPS-100209,2026-01-09,Midlands,Workplace Services,0,56,56,54,2,0,0,1.8,0.93,1.0,4.6,0.814,0.964
OPS-100210,2026-01-09,Midlands,Facilities Response,80,25,105,33,72,1,0,6.8,0.6,0.98,2.5,0.788,0.314
OPS-100211,2026-01-09,Midlands,Estates Support,31,33,64,32,32,0,0,4.5,0.739,0.977,3.2,0.788,0.5
OPS-100212,2026-01-09,Midlands,Workplace Projects,0,26,26,26,0,0,0,1.2,0.99,0.997,4.3,0.72,1.0
OPS-100213,2026-01-09,South West,Workplace Services,100,53,153,30,123,0,0,8.0,0.6,0.988,2.5,0.703,0.196
OPS-100214,2026-01-09,South West,Facilities Response,9,39,48,48,0,0,0,1.6,0.958,0.984,4.5,0.689,1.0
OPS-100215,2026-01-09,South West,Estates Support,0,41,41,41,0,0,0,1.4,1.0,0.989,4.5,0.649,1.0
OPS-100216,2026-01-09,South West,Workplace Projects,0,35,35,35,0,0,0,1.1,0.975,0.972,4.7,0.673,1.0
OPS-100217,2026-01-09,South East,Workplace Services,32,53,85,57,28,0,0,4.1,0.842,0.998,3.2,0.669,0.671
OPS-100218,2026-01-09,South East,Facilities Response,212,47,259,21,238,1,0,8.0,0.6,0.979,2.5,0.751,0.081
