Staff_Record_ID,Month,Region,Team,Headcount,Working_Days,Available_Hours,Absence_Hours,Training_Hours,Productive_Hours,Staff_Utilisation
STAFF-2026,2026-02-01,North East,Workplace Services,15.0,20,2220.0,115.5,67.4,1762.5,0.794
STAFF-2027,2026-03-01,North East,Workplace Services,17.0,22,2767.6,187.6,50.2,2203.1,0.796
STAFF-2028,2026-04-01,North East,Workplace Services,16.0,22,2604.8,204.8,117.8,1871.2,0.718
STAFF-2029,2026-05-01,North East,Workplace Services,15.0,21,2331.0,87.1,65.9,1644.3,0.705
STAFF-2030,2026-06-01,North East,Workplace Services,16.0,22,2604.8,240.9,82.2,1937.6,0.744
STAFF-2031,2026-01-01,North East,Facilities Response,18.0,22,2930.4,153.1,42.2,2069.0,0.706
STAFF-2032,2026-02-01,North East,Facilities Response,18.0,20,2664.0,232.5,118.4,1668.0,0.626
STAFF-2033,2026-03-01,North East,Facilities Response,19.0,22,3093.2,183.2,58.4,2107.8,0.681
STAFF-2034,2026-04-01,North East,Facilities Response,19.0,22,3093.2,145.7,51.8,2186.3,0.707
STAFF-2035,2026-05-01,North East,Facilities Response,18.0,21,2797.2,163.0,35.2,1976.9,0.707
STAFF-2036,2026-06-01,North East,Facilities Response,19.0,22,3093.2,147.3,92.5,2191.8,0.709
STAFF-2037,2026-01-01,North East,Estates Support,7.0,22,1139.6,55.5,55.9,807.9,0.709
STAFF-2038,2026-02-01,North East,Estates Support,9.0,20,1332.0,72.1,47.1,1005.3,0.755
STAFF-2039,2026-03-01,North East,Estates Support,9.0,22,1465.2,94.2,72.4,985.3,0.672
STAFF-2040,2026-04-01,North East,Estates Support,8.0,22,1302.4,46.4,32.3,928.5,0.713
STAFF-2041,2026-05-01,North East,Estates Support,9.0,21,1398.6,103.9,49.4,1003.4,0.717
STAFF-2042,2026-06-01,North East,Estates Support,7.0,22,1139.6,46.2,34.6,880.2,0.772
STAFF-2043,2026-01-01,North East,Workplace Projects,10.0,22,1628.0,86.0,30.6,1260.2,0.774
STAFF-2044,2026-02-01,North East,Workplace Projects,10.0,20,1480.0,80.5,20.5,1200.4,0.811
STAFF-2045,2026-03-01,North East,Workplace Projects,10.0,22,1628.0,144.3,60.3,1192.3,0.732
STAFF-2046,2026-04-01,North East,Facilities  Response,10.0,22,1628.0,154.2,73.4,1066.1,0.655
STAFF-2047,2026-05-01,North East,Workplace Projects,10.0,21,1554.0,65.7,76.6,1133.1,0.729
STAFF-2048,2026-06-01,North East,Workplace Projects,9.0,22,1465.2,68.8,20.1,1188.5,0.811
STAFF-2049,2026-01-01,North West,Workplace Services,12.0,22,1953.6,84.4,41.3,1520.9,0.779
STAFF-2050,2026-02-01,North West,Workplace Services,12.0,20,1776.0,159.7,46.5,1353.2,0.762
STAFF-2051,2026-03-01,North West,Workplace Services,12.0,22,1953.6,70.1,32.2,1599.1,0.819
STAFF-2052,2026-04-01,North West,Workplace Services,12.0,22,1953.6,138.0,48.6,1538.0,0.787
STAFF-2053,2026-05-01,North West,Workplace Services,11.0,21,1709.4,51.9,28.1,1316.2,0.77
STAFF-2054,2026-06-01,North West,Workplace Services,12.0,22,1953.6,147.8,37.1,1475.0,0.755
STAFF-2055,2026-01-01,North West,Facilities Response,9.0,22,1465.2,62.3,36.1,1146.8,0.783
STAFF-2056,2026-02-01,North West,Facilities Response,8.0,20,1184.0,90.0,38.8,775.6,0.655
STAFF-2057,2026-03-01,North West,Facilities Response,8.0,22,1302.4,97.1,26.1,960.3,0.737
STAFF-2058,2026-04-01,North West,Facilities Response,9.0,22,1465.2,93.9,67.8,1029.1,0.702
STAFF-2059,2026-05-01,North West,Facilities Response,9.0,21,1398.6,91.2,46.3,1007.4,0.72
STAFF-2060,2026-06-01,North West,Facilities Response,9.0,22,1465.2,67.6,43.9,1098.6,0.75
STAFF-2061,2026-01-01,North West,Estates Support,7.0,22,1139.6,113.5,32.8,759.6,0.667
STAFF-2062,2026-02-01,North West,Estates Support,8.0,20,1184.0,97.5,57.0,795.7,0.672
STAFF-2063,2026-03-01,North West,Estates Support,9.0,22,1465.2,102.7,72.1,944.6,0.645
STAFF-2064,2026-04-01,North West,Estates Support,9.0,22,1465.2,83.5,64.5,1015.2,0.693
STAFF-2065,2026-05-01,North West,Estates Support,8.0,21,1243.2,85.8,59.0,913.2,0.735
STAFF-2066,2026-06-01,North West,Estates Support,8.0,22,1302.4,95.1,64.6,848.4,0.651
STAFF-2067,2026-01-01,North West,Workplace Projects,18.0,22,2930.4,267.9,116.1,2117.4,0.723
STAFF-2068,2026-02-01,North West,Workplace Projects,18.0,20,2664.0,212.1,85.5,1816.1,0.682
STAFF-2069,2026-03-01,North West,Workplace Projects,18.0,22,2930.4,254.1,130.9,2204.6,0.752
STAFF-2070,2026-04-01,North West,Workplace Projects,18.0,22,2930.4,89.0,102.9,2056.8,0.702
STAFF-2071,2026-05-01,North West,Workplace Projects,18.0,21,2797.2,257.5,31.1,2038.5,0.729
STAFF-2072,2026-06-01,North West,Workplace Projects,18.0,22,2930.4,183.4,92.9,2032.6,0.694
STAFF-2073,2026-01-01,Midlands,Workplace Services,17.0,22,2767.6,88.9,31.8,2254.1,0.814
STAFF-2074,2026-02-01,Midlands,Workplace Services,17.0,20,2516.0,97.9,77.7,1973.4,0.784
STAFF-2075,2026-03-01,Midlands,Workplace Services,17.0,22,2767.6,270.0,78.3,2067.8,0.747
STAFF-2076,2026-04-01,Midlands,Workplace Services,17.0,22,2767.6,162.7,105.1,1855.2,0.67
STAFF-2077,2026-05-01,Midlands,Workplace Services,18.0,21,2797.2,273.8,107.9,1755.0,0.627
STAFF-2078,2026-06-01,Midlands,Workplace Services,17.0,22,2767.6,168.1,36.4,1855.8,0.671
STAFF-2079,2026-01-01,Midlands,Facilities Response,11.0,22,1790.8,140.0,22.1,1411.2,0.788
STAFF-2080,2026-02-01,Midlands,Facilities Response,12.0,20,1776.0,83.1,24.4,1250.1,0.704
STAFF-2081,2026-03-01,Midlands,Facilities Response,,22,2116.4,105.0,102.0,1600.2,0.756
STAFF-2082,2026-04-01,Midlands,Facilities Response,13.0,22,2116.4,154.1,56.7,1447.6,0.684
STAFF-2083,2026-05-01,Midlands,Facilities Response,12.0,21,1864.8,154.9,19.7,1248.3,0.669
STAFF-2084,2026-06-01,Midlands,Facilities Response,13.0,22,2116.4,77.4,47.5,1746.0,0.825
STAFF-2085,2026-01-01,Midlands,Estates Support,12.0,22,1953.6,61.0,79.2,1539.8,0.788
STAFF-2086,2026-02-01,Midlands,Estates Support,12.0,20,1776.0,74.8,48.6,1295.2,0.729
STAFF-2087,2026-03-01,Midlands,Estates Support,12.0,22,1953.6,188.4,88.8,1277.0,0.654
STAFF-2088,2026-04-01,Midlands,Estates Support,12.0,22,1953.6,144.2,58.9,1500.2,0.768
STAFF-2089,2026-05-01,Midlands,Estates Support,13.0,21,2020.2,157.3,70.0,1561.7,0.773
STAFF-2090,2026-06-01,Midlands,Estates Support,12.0,22,1953.6,62.2,65.3,1589.5,0.814
STAFF-2091,2026-01-01,Midlands,Workplace Projects,15.0,22,2442.0,139.6,87.3,1757.3,0.72
STAFF-2092,2026-02-01,Midlands,Workplace Projects,15.0,20,2220.0,194.1,77.8,1658.4,0.747
STAFF-2093,2026-03-01,Midlands,Workplace Projects,15.0,22,2442.0,108.6,51.2,1721.5,0.705
STAFF-2094,2026-04-01,Midlands,Workplace Projects,15.0,22,2442.0,79.9,84.8,1762.3,0.722
STAFF-2095,2026-05-01,Midlands,Workplace Projects,15.0,21,2331.0,122.0,102.1,1524.8,0.654
STAFF-2096,2026-06-01,Midlands,Workplace Projects,15.0,22,2442.0,117.8,72.9,1870.5,0.766
STAFF-2097,2026-01-01,South West,Workplace Services,10.0,22,1628.0,155.6,18.8,1143.8,0.703
STAFF-2098,2026-02-01,South West,Workplace Services,10.0,20,1480.0,73.6,25.3,1160.3,0.784
STAFF-2099,2026-03-01,South West,Workplace Services,9.0,22,1465.2,145.5,38.8,998.5,0.681
STAFF-2100,2026-04-01,South West,Workplace Services,10.0,22,1628.0,76.0,60.6,1250.4,0.768
STAFF-2101,2026-05-01,South West,Workplace Services,9.0,21,1398.6,52.1,64.5,1026.7,0.734
STAFF-2102,2026-06-01,South West,Workplace Services,8.0,22,1302.4,68.3,59.7,918.7,0.705
STAFF-2103,2026-01-01,South West,Facilities Response,20.0,22,3256.0,304.0,44.4,2242.0,0.689
STAFF-2104,2026-02-01,South West,Facilities Response,19.0,20,2812.0,197.2,99.2,1991.7,0.708
STAFF-2105,2026-03-01,South West,Facilities Response,19.0,22,3093.2,223.2,99.4,2089.1,0.675
STAFF-2106,2026-04-01,South West,Facilities Response,20.0,22,3256.0,278.1,135.4,2088.1,0.641
STAFF-2107,2026-05-01,South West,Facilities Response,19.0,21,2952.6,289.9,147.1,1833.7,0.621
STAFF-2108,2026-06-01,South West,Facilities Response,19.0,22,3093.2,285.0,74.4,2019.5,0.653
STAFF-2109,2026-01-01,South West,Estates Support,18.0,22,2930.4,244.1,101.8,1902.7,0.649
STAFF-2110,2026-02-01,South West,Estates Support,20.0,20,2960.0,134.9,76.6,2371.1,0.801
STAFF-2111,2026-03-01,South West,Estates Support,19.0,22,3093.2,110.4,41.4,2582.1,0.835
STAFF-2112,2026-04-01,South West,Estates Support,20.0,22,3256.0,182.2,138.4,2558.4,0.786
STAFF-2113,2026-05-01,South West,Estates Support,18.0,21,2797.2,199.8,67.2,2108.4,0.754
STAFF-2114,2026-06-01,South West,Estates Support,19.0,22,3093.2,261.1,100.0,2152.6,0.696
STAFF-2115,2026-01-01,South West,Workplace Projects,17.0,22,2767.6,104.6,82.2,1862.9,0.673
STAFF-2116,2026-02-01,South West,Workplace Projects,17.0,20,2516.0,176.1,99.7,1887.9,0.75
STAFF-2117,2026-03-01,South West,Workplace Projects,16.0,22,2604.8,213.8,97.0,1738.9,0.668
STAFF-2118,2026-04-01,South West,Workplace Projects,16.0,22,2604.8,146.5,55.8,2063.7,0.792
STAFF-2119,2026-05-01,South West,Workplace Projects,18.0,21,2797.2,272.5,29.3,2183.9,0.781
STAFF-2120,2026-06-01,South West,Workplace Projects,18.0,22,2930.4,154.1,34.4,2379.8,0.812
STAFF-2121,2026-01-01,South East,Workplace Services,20.0,22,3256.0,155.3,123.1,2179.8,0.669
STAFF-2122,2026-02-01,South East,Workplace Services,18.0,20,2664.0,120.4,58.0,2185.7,0.82
STAFF-2123,2026-03-01,South East,Workplace Services,19.0,22,3093.2,287.9,36.6,2117.9,0.685
STAFF-2124,2026-04-01,South East,Workplace Services,19.0,22,3093.2,115.9,72.5,2170.3,0.702
STAFF-2125,2026-05-01,South East,Workplace Services,19.0,21,2952.6,184.4,71.3,2193.6,0.743
STAFF-2126,2026-06-01,South East,Workplace Services,19.0,22,3093.2,170.8,63.1,2266.0,0.733
STAFF-2127,2026-01-01,South East,Facilities Response,7.0,22,1139.6,58.9,48.5,856.3,0.751
STAFF-2128,2026-02-01,South East,Facilities Response,9.0,20,1332.0,52.4,17.4,1098.7,0.825
STAFF-2129,2026-03-01,South East,Facilities Response,8.0,22,1302.4,105.2,45.0,906.7,0.696
STAFF-2130,2026-04-01,South East,Facilities Response,8.0,22,1302.4,89.4,21.6,936.2,0.719
STAFF-2131,2026-05-01,South East,Facilities Response,7.0,21,1087.8,69.2,53.7,752.9,0.692
STAFF-2132,2026-06-01,South East,Facilities Response,8.0,22,1302.4,73.8,63.6,995.8,0.765
STAFF-2133,2026-01-01,South East,Estates Support,19.0,22,3093.2,194.3,82.3,2151.2,0.695
STAFF-2134,2026-02-01,South East,Estates Support,20.0,20,2960.0,257.2,148.0,2246.8,0.759
STAFF-2135,2026-03-01,South East,Estates Support,21.0,22,3418.8,242.6,133.5,2559.3,0.749
STAFF-2136,2026-04-01,South East,Estates Support,20.0,22,3256.0,154.1,91.2,2229.9,0.685
STAFF-2137,2026-05-01,South East,Estates Support,20.0,21,3108.0,153.0,56.8,2493.9,0.802
STAFF-2138,2026-06-01,South East,Estates Support,20.0,22,3256.0,179.3,47.3,2506.7,0.77
STAFF-2139,2026-01-01,South East,Workplace Projects,9.0,22,1465.2,97.3,64.6,1053.5,0.719
STAFF-2140,2026-02-01,South East,Workplace Projects,10.0,20,1480.0,53.6,61.7,1111.4,0.751
STAFF-2141,2026-03-01,South East,Workplace Projects,10.0,22,1628.0,119.5,62.1,1090.7,0.67
STAFF-2142,2026-04-01,South East,Workplace Projects,9.0,22,1465.2,144.5,50.3,1044.1,0.713
STAFF-2143,2026-05-01,South East,Workplace Projects,9.0,21,1398.6,50.9,54.6,1044.3,0.747
STAFF-2144,2026-06-01,South East,Workplace Projects,8.0,22,1302.4,110.5,33.7,949.2,0.729
STAFF-2145,2026-01-01,Wales,Workplace Services,9.0,22,1465.2,141.3,23.3,1129.3,0.771
STAFF-2146,2026-02-01,Wales,Workplace Services,10.0,20,1480.0,124.1,18.7,972.6,0.657
STAFF-2147,2026-03-01,Wales,Workplace Services,11.0,22,1790.8,97.3,32.9,1349.6,0.754
STAFF-2148,2026-04-01,Wales,Workplace Services,10.0,22,1628.0,57.5,24.7,1144.6,0.703
STAFF-2149,2026-05-01,Wales,Workplace Services,10.0,21,1554.0,61.7,55.4,1076.4,0.693
STAFF-2150,2026-06-01,Wales,Workplace Services,9.0,22,1465.2,135.9,42.4,1064.0,0.726
STAFF-2151,2026-01-01,Wales,Facilities Response,10.0,22,1628.0,70.8,18.9,1149.2,0.706
STAFF-2152,2026-02-01,Wales,Facilities Response,9.0,20,1332.0,72.4,15.0,1005.4,0.755
STAFF-2153,2026-03-01,Wales,Facilities Response,10.0,22,1628.0,101.4,29.7,1165.0,0.716
STAFF-2154,2026-04-01,Wales,Facilities Response,9.0,22,1465.2,114.8,17.0,1130.6,0.772
STAFF-2155,2026-05-01,Wales,Facilities Response,8.0,21,1243.2,97.1,37.9,825.7,0.664
STAFF-2156,2026-06-01,Wales,Facilities Response,10.0,22,1628.0,49.1,72.8,1104.8,0.679
STAFF-2157,2026-01-01,Wales,Estates Support,11.0,22,1790.8,177.4,56.3,1351.3,0.755
STAFF-2158,2026-02-01,Wales,Estates Support,10.0,20,1480.0,123.1,46.3,1094.7,0.74
STAFF-2159,2026-03-01,Wales,Estates Support,10.0,22,1628.0,53.0,32.7,1286.5,0.79
STAFF-2160,2026-04-01,Wales,Estates Support,10.0,22,1628.0,109.5,23.3,1183.6,0.727
STAFF-2161,2026-05-01,Wales,Estates Support,10.0,21,1554.0,89.8,22.1,1208.5,0.778
STAFF-2162,2026-06-01,Wales,Estates Support,10.0,22,1628.0,51.1,37.3,1160.6,0.713
STAFF-2163,2026-01-01,Wales,Workplace Projects,17.0,22,2767.6,128.2,65.6,2048.3,0.74
STAFF-2164,2026-02-01,Wales,Workplace Projects,17.0,20,2516.0,214.5,75.3,1633.8,0.649
STAFF-2165,2026-03-01,Wales,Workplace Projects,17.0,22,2767.6,191.1,92.6,2012.7,0.727
STAFF-2166,2026-04-01,Wales,Workplace Projects,17.0,22,2767.6,138.0,67.9,2109.2,0.762
STAFF-2167,2026-05-01,Wales,Workplace Projects,17.0,21,2641.8,124.4,79.1,1884.5,0.713
STAFF-2168,2026-06-01,Wales,Workplace Projects,16.0,22,2604.8,121.4,36.7,1821.5,0.699
