Incident_ID,Date,Region,Team,Incident_Type,Severity,Status,Response_Time_Hours,Resolution_Time_Hours,Lesson_or_Action
INC-00025,2026-06-29,North West,Workplace Projects,Building issue,Low,Closed,3.9,4.1,Documentation updated
INC-00026,2026-02-18,North East,Workplace Projects,Data quality issue,Medium,Open,4.3,8.0,
INC-00027,2026-03-12,South West,Workplace Services,Staffing shortage,Low,Closed,6.0,11.4,Documentation updated
INC-00028,2026-02-18,North  West,Facilities Response,Staffing shortage,High,Closed,3.8,42.1,Training required
INC-00029,2026-04-23,North West,Facilities Response,Data quality issue,Medium,Closed,2.5,3.9,Supplier action
INC-00030,2026-02-01,North West,Estates Support,Data quality issue,Medium,Closed,0.6,3.7,Training required
INC-00031,2026-05-15,South West,Workplace Services,Staffing shortage,Medium,Closed,4.0,20.3,Process updated
INC-00032,2026-03-08,South East,Workplace Projects,Supplier delay,Low,Closed,1.3,17.4,Supplier action
INC-00033,2026-05-24,North West,Workplace Services,Process failure,Low,Closed,0.4,1.5,Documentation updated
INC-00034,2026-05-27,Scotland,Estates Support,Data quality issue,Medium,Closed,11.7,42.3,No further action
INC-00035,2026-01-11,North East,Facilities Response,Customer escalation,Low,Open,6.6,11.9,
INC-00036,2026-05-17,Midlands,Workplace Projects,Supplier delay,Low,Open,0.9,26.5,
INC-00037,2026-04-30,Wales,Estates Support,System outage,Medium,Closed,0.6,6.2,Training required
INC-00038,2026-01-25,North East,Facilities Response,Process failure,Medium,Open,1.2,42.7,
INC-00039,2026-04-08,North West,Estates Support,Health & safety issue,High,In Progress,15.2,36.3,
INC-00040,2026-02-03,Midlands,Workplace Services,Data quality issue,Medium,In Progress,0.6,3.2,
INC-00041,2026-02-26,North East,Estates Support,Data quality issue,Medium,In Progress,6.0,9.5,
INC-00042,2026-06-22,South East,Workplace Services,Supplier delay,Low,Closed,1.0,17.9,Supplier action
INC-00043,2026-06-30,South West,Facilities Response,Staffing shortage,Low,Closed,1.9,17.9,Supplier action
INC-00044,2026-02-23,Midlands,Estates Support,Process failure,High,In Progress,6.5,16.1,
INC-00045,2026-05-28,North East,Workplace Projects,Process failure,Low,Closed,3.5,8.6,Training required
INC-00046,2026-03-14,Scotland,Workplace Services,Building issue,Low,Closed,3.5,11.3,Supplier action
INC-00047,2026-05-11,Scotland,Workplace Projects,Process failure,Medium,Closed,1.0,7.8,Supplier action
INC-00048,2026-02-18,Scotland,Facilities Response,System outage,Medium,Open,4.4,41.5,
INC-00049,2026-01-08,South West,Workplace Services,Process failure,Medium,Closed,12.2,30.9,Supplier action
INC-00050,2026-06-03,Scotland,Facilities Response,Supplier delay,Low,Closed,1.0,11.6,Training required
INC-00051,2026-05-15,Scotland,Workplace Services,Staffing shortage,Medium,Closed,3.2,31.8,No further action
INC-00052,2026-06-16,Midlands,Estates Support,System outage,High,Closed,7.8,27.9,Supplier action
INC-00053,2026-02-06,Midlands,Facilities Response,Data quality issue,Medium,Closed,4.4,23.9,Documentation updated
INC-00054,2026-06-10,South East,Facilities Response,Supplier delay,High,Closed,18.2,18.9,Documentation updated
INC-00055,2026-05-21,North West,Workplace Projects,Customer escalation,Medium,Open,0.8,2.5,
INC-00056,2026-03-03,Midlands,Workplace Services,Data quality issue,Medium,Closed,7.8,17.5,No further action
INC-00057,2026-05-13,South East,Workplace Services,Process failure,Low,Closed,1.6,5.0,Process updated
INC-00058,2026-06-25,Scotland,Facilities Response,Customer escalation,Low,Closed,2.1,3.8,Supplier action
INC-00059,2026-02-06,South East,Estates Support,Customer escalation,Medium,Closed,12.2,93.7,No further action
INC-00060,2026-01-04,North East,Workplace Projects,Process failure,High,In Progress,15.9,19.8,
INC-00061,2026-04-17,North East,Facilities Response,Supplier delay,Low,Closed,6.5,26.8,Process updated
INC-00062,2026-01-09,Wales,Facilities Response,Staffing shortage,Medium,Closed,4.1,16.3,Process updated
INC-00063,2026-01-03,South East,Facilities Response,Building issue,Medium,Closed,5.0,20.6,Training required
INC-00064,2026-01-11,South East,Estates Support,Building issue,Low,Closed,0.5,24.6,Training required
INC-00065,2026-01-09,North West,Workplace Services,Staffing shortage,Medium,Closed,3.1,11.5,Supplier action
INC-00066,2026-05-13,Scotland,Facilities Response,Data quality issue,Low,In Progress,8.2,68.2,
INC-00067,2026-04-24,Midlands,Workplace Projects,Staffing shortage,Medium,Closed,4.7,24.2,Supplier action
INC-00068,2026-02-02,South East,Estates Support,Data quality issue,High,Closed,2.3,7.6,Documentation updated
INC-00069,2026-04-17,North East,Workplace Services,Customer escalation,Medium,Closed,7.5,10.6,Supplier action
INC-00070,2026-02-14,South East,Estates Support,Supplier delay,High,Closed,15.4,23.3,Training required
INC-00071,2026-04-10,Midlands,Workplace Services,Customer escalation,Medium,Closed,2.2,19.5,Process updated
INC-00072,2026-01-17,Scotland,Facilities Response,Health & safety issue,Medium,In Progress,8.1,10.1,
INC-00073,2026-06-07,Scotland,Workplace Services,Customer escalation,Critical,Open,15.4,150.9,
INC-00074,2026-01-22,Wales,Workplace Projects,Data quality issue,Medium,Closed,1.4,27.9,Process updated
INC-00075,2026-05-18,Midlands,Facilities Response,Staffing shortage,Medium,Closed,10.8,76.1,Documentation updated
INC-00076,2026-06-13,South West,Workplace Projects,Customer escalation,Medium,In Progress,0.6,7.6,
INC-00077,2026-03-20,South East,Estates Support,Supplier delay,Medium,Closed,2.1,107.4,Process updated
INC-00078,2026-04-09,Midlands,Estates Support,Building issue,Medium,In Progress,2.3,35.3,
INC-00079,2026-06-24,South West,Facilities Response,Staffing shortage,Low,Closed,11.9,12.3,Documentation updated
INC-00080,2026-01-21,Wales,Workplace Services,Process failure,Medium,Closed,2.1,76.5,Process updated
INC-00081,2026-02-27,Wales,Estates Support,Staffing shortage,Medium,Closed,5.8,14.1,No further action
INC-00082,2026-01-27,Wales,Facilities Response,Building issue,Low,In Progress,0.9,8.5,
INC-00083,2026-02-19,South East,Estates Support,Data quality issue,Medium,In Progress,12.6,74.3,
INC-00084,2026-05-28,South East,Workplace Services,Customer escalation,Low,Closed,3.6,7.2,Process updated
INC-00085,2026-06-15,North East,Workplace Projects,Process failure,Low,In Progress,1.4,21.5,
INC-00086,2026-05-19,Wales,Workplace Services,Supplier delay,Low,Closed,2.6,14.1,Supplier action
INC-00087,2026-02-14,South East,Workplace Projects,Health & safety issue,Medium,Closed,3.8,5.8,Process updated
INC-00088,2026-03-17,Wales,Workplace Projects,Process failure,Low,Open,4.6,14.9,
INC-00089,2026-06-09,Wales,Workplace Services,System outage,Medium,Closed,2.7,3.3,No further action
INC-00090,2026-06-03,North West,Facilities Response,Supplier delay,Critical,Closed,24.0,35.3,No further action
INC-00091,2026-02-18,Wales,Workplace Services,Process failure,Medium,Closed,14.3,15.3,Process updated
INC-00092,2026-04-24,Wales,Workplace Projects,Process failure,Medium,Open,2.6,33.0,
INC-00093,2026-01-07,South West,Workplace Projects,Supplier delay,Medium,Closed,3.8,4.5,No further action
INC-00094,2026-04-16,Midlands,Facilities Response,Customer escalation,Low,Open,1.0,26.9,
INC-00095,2026-05-02,North West,Facilities Response,Health & safety issue,Low,In Progress,5.8,19.3,
INC-00096,2026-02-20,North East,Facilities Response,Process failure,Medium,In Progress,28.5,94.8,
INC-00097,2026-05-11,Scotland,Estates Support,Building issue,Medium,Closed,9.7,13.1,Documentation updated
INC-00098,2026-06-08,North West,Workplace Projects,Data quality issue,Low,Open,2.0,57.4,
INC-00099,2026-06-01,Midlands,Estates Support,Data quality issue,Medium,Closed,7.0,19.0,Training required
INC-00100,2026-03-20,Wales,Facilities Response,Staffing shortage,Medium,Closed,2.2,10.2,Supplier action
INC-00101,2026-01-18,South West,Estates Support,Supplier delay,Low,Open,8.7,11.2,
INC-00102,2026-06-21,North West,Facilities Response,Building issue,Low,In Progress,2.4,3.7,
INC-00103,2026-05-05,Midlands,Workplace Projects,Data quality issue,Medium,In progress,1.0,20.0,Process updated
INC-00104,2026-01-28,North East,Workplace Services,System outage,Low,Open,0.8,44.9,
INC-00105,2026-02-16,North East,Facilities Response,Process failure,Low,Closed,2.4,16.3,Process updated
INC-00106,2026-01-01,Midlands,Workplace Projects,System outage,Medium,Closed,1.4,4.7,Process updated
INC-00107,2026-04-17,South East,Workplace Services,System outage,Medium,Closed,6.6,17.2,No further action
INC-00108,2026-05-28,North East,Facilities Response,Building issue,Low,Open,0.5,13.4,
INC-00109,2026-02-04,Midlands,Workplace Services,System outage,Low,Closed,3.4,18.1,No further action
INC-00110,2026-06-30,Midlands,Estates Support,Supplier delay,Low,Closed,3.9,29.4,Supplier action
INC-00111,2026-06-27,North West,Facilities Response,Health & safety issue,Low,In Progress,0.9,36.3,
INC-00112,2026-05-04,South West,Facilities Response,Customer escalation,Low,In Progress,2.4,27.9,
INC-00113,2026-03-27,North East,Workplace Services,Supplier delay,High,Closed,10.6,31.6,Process updated
INC-00114,2026-01-26,South East,Workplace Projects,Staffing shortage,Medium,Closed,6.3,26.6,Supplier action
INC-00115,2026-01-31,South West,Workplace Services,System outage,Medium,Closed,2.6,5.7,Process updated
INC-00116,2026-06-10,North West,Workplace Projects,Building issue,Medium,In Progress,2.2,4.3,
INC-00117,2026-04-08,North West,Facilities Response,Staffing shortage,High,Closed,13.1,62.0,Supplier action
INC-00118,2026-04-19,South East,Workplace Projects,Customer escalation,Low,Closed,1.7,14.2,Training required
INC-00119,2026-05-23,South West,Workplace Projects,System outage,Medium,Closed,4.4,15.0,Training required
INC-00120,2026-01-11,South West,Facilities Response,Supplier delay,Medium,Closed,2.9,38.7,Training required
INC-00121,2026-06-05,Scotland,Facilities Response,Building issue,Low,Closed,3.0,6.6,No further action
INC-00122,2026-01-15,North West,Estates Support,Supplier delay,High,Open,27.3,27.9,
INC-00123,2026-05-31,Midlands,Workplace Projects,Data quality issue,Medium,Closed,5.8,14.4,No further action
INC-00124,2026-01-21,Midlands,Estates Support,Building issue,Low,Open,1.4,5.6,
INC-00125,2026-01-27,Wales,Workplace Projects,Health & safety issue,Medium,Closed,5.2,27.9,Process updated
INC-00126,2026-03-18,North West,Workplace Services,Customer escalation,Medium,Open,1.5,14.9,
INC-00127,2026-03-12,North West,Workplace Services,Supplier delay,Medium,Open,3.3,4.9,
INC-00128,2026-02-23,Midlands,Workplace Projects,Customer escalation,Medium,Closed,0.5,18.8,Documentation updated
INC-00129,2026-05-17,South East,Estates Support,Supplier delay,Medium,Closed,9.7,51.2,Process updated
INC-00130,2026-06-03,North East,Workplace Projects,Staffing shortage,Low,Open,2.3,16.2,
INC-00131,2026-05-26,South East,Facilities Response,Supplier delay,Medium,In Progress,1.4,25.4,
INC-00132,2026-06-10,North East,Workplace Services,Building issue,Low,Closed,3.6,13.6,Training required
INC-00133,2026-03-19,South West,Workplace Services,Supplier delay,Medium,Closed,5.0,25.3,Training required
INC-00134,2026-04-28,Midlands,Workplace Services,Customer escalation,Medium,Open,9.0,25.6,
INC-00135,2026-04-12,Midlands,Estates Support,Data quality issue,Medium,In Progress,11.7,15.5,
INC-00136,2026-05-16,North West,Facilities Response,Data quality issue,Low,In Progress,2.9,3.8,
INC-00137,2026-01-05,Scotland,Workplace Projects,Process failure,Medium,Closed,6.2,10.9,Training required
INC-00138,2026-01-03,North East,Facilities Response,Supplier delay,Critical,Closed,77.0,106.8,No further action
INC-00139,2026-01-08,Midlands,Facilities Response,Building issue,High,In Progress,10.8,17.7,
INC-00140,2026-04-16,Scotland,Workplace Services,Data quality issue,High,Closed,3.9,125.6,Supplier action
INC-00141,2026-05-24,North West,Estates Support,Health & safety issue,Low,In Progress,5.0,23.4,
INC-00142,2026-03-06,South East,Workplace Services,Process failure,Low,Closed,5.8,31.0,Documentation updated
INC-00143,2026-01-16,Midlands,Workplace Projects,Process failure,Medium,Open,2.3,7.8,
INC-00144,2026-03-07,North West,Facilities Response,System outage,High,Closed,3.9,19.4,Training required
INC-00145,2026-02-24,North East,Facilities Response,Process failure,Medium,Open,10.0,14.2,
INC-00146,2026-02-18,Scotland,Facilities Response,Process failure,Medium,Closed,10.6,40.1,No further action
INC-00147,2026-01-14,Scotland,Workplace Services,Staffing shortage,Low,Closed,1.2,40.9,Training required
INC-00148,2026-01-10,South East,Workplace Services,System outage,Medium,Open,5.2,7.9,
INC-00149,2026-03-21,South East,Workplace Services,Staffing shortage,Low,Closed,6.5,20.3,Training required
INC-00150,2026-05-16,Midlands,Workplace Projects,Data quality issue,Low,In Progress,3.1,45.6,
INC-00151,2026-04-06,South West,Estates Support,Supplier delay,Medium,In Progress,1.1,19.5,
INC-00152,2026-04-03,Scotland,Facilities Response,Staffing shortage,Medium,Closed,4.7,8.5,Process updated
INC-00153,2026-05-10,Midlands,Facilities Response,Health & safety issue,Low,Closed,2.3,4.7,Documentation updated
INC-00154,2026-03-14,South East,Facilities Response,Health & safety issue,Low,Open,3.7,16.3,
INC-00155,2026-02-09,South East,Estates Support,Building issue,Low,Open,4.1,27.8,
INC-00156,2026-06-27,Scotland,Workplace Projects,Health & safety issue,Low,In Progress,1.9,11.3,
INC-00157,2026-01-14,North East,Workplace Services,Process failure,Medium,Closed,1.2,11.0,Documentation updated
INC-00158,2026-05-18,South West,Workplace Projects,System outage,Medium,In Progress,0.6,5.6,
INC-00159,2026-06-30,South East,Workplace Services,System outage,Low,Closed,1.4,14.5,Documentation updated
INC-00160,2026-02-21,North East,Workplace Services,Data quality issue,Medium,Closed,2.5,26.6,Supplier action
INC-00161,2026-06-29,South East,Facilities Response,Building issue,Medium,Closed,16.0,43.8,Process updated
INC-00162,2026-06-18,South West,Workplace Projects,System outage,Low,Closed,9.7,13.4,Documentation updated
INC-00163,2026-01-28,South West,Facilities Response,Process failure,Low,Closed,3.7,4.6,Documentation updated
INC-00164,2026-03-10,South East,Workplace Services,Health & safety issue,Low,In Progress,0.5,17.8,
INC-00165,2026-05-09,Scotland,Workplace Projects,System outage,Low,In Progress,2.8,9.0,
INC-00166,2026-06-08,North West,Estates Support,Staffing shortage,Critical,Closed,4.3,13.9,Documentation updated
INC-00167,2026-01-05,South West,Workplace Projects,Supplier delay,Low,Open,8.4,27.6,
INC-00168,2026-04-14,South West,Facilities Response,Staffing shortage,Medium,Closed,2.0,7.4,Process updated
INC-00169,2026-06-18,Wales,Estates Support,Supplier delay,Low,Closed,6.0,10.4,Training required
INC-00170,2026-04-28,Midlands,Workplace Projects,Health & safety issue,Medium,Open,1.4,2.2,
INC-00171,2026-01-17,Wales,Estates Support,Health & safety issue,Low,Closed,3.1,9.3,Training required
INC-00172,2026-01-22,North West,Workplace Projects,Health & safety issue,Low,Closed,8.0,21.1,Supplier action
INC-00173,2026-05-02,South East,Estates Support,Data quality issue,High,Closed,7.5,38.4,Documentation updated
INC-00174,2026-05-06,South East,Workplace Projects,Customer escalation,Medium,Open,0.8,7.7,
INC-00175,2026-05-30,Wales,Facilities Response,Building issue,Medium,Closed,1.1,21.9,No further action
INC-00176,2026-01-27,Wales,Estates Support,Health & safety issue,Medium,Open,7.1,21.2,
INC-00177,2026-04-07,Midlands,Estates Support,Customer escalation,Low,In Progress,0.7,11.5,
INC-00178,2026-01-25,South East,Estates Support,Supplier delay,Low,Closed,5.1,32.0,No further action
INC-00179,2026-04-14,North East,Workplace Projects,Staffing shortage,High,Closed,7.7,48.1,Supplier action
INC-00180,2026-06-04,South West,Workplace Projects,Data quality issue,Medium,Open,0.5,26.3,
INC-00181,2026-02-23,South East,Facilities Response,Supplier delay,Low,In Progress,2.0,7.0,
INC-00182,2026-03-11,South East,Workplace Services,Customer escalation,Low,In Progress,4.0,23.1,
INC-00183,2026-06-03,North West,Workplace Services,Customer escalation,Low,In Progress,0.5,2.8,
INC-00184,2026-02-26,North West,Workplace Services,Data quality issue,Medium,In Progress,5.6,6.8,
INC-00185,2026-03-21,North East,Workplace Projects,Process failure,Medium,Closed,5.1,21.7,No further action
INC-00186,2026-03-01,North West,Estates Support,Process failure,Low,In Progress,5.1,55.7,
INC-00187,2026-04-27,South East,Workplace Projects,Building issue,Medium,Open,1.2,25.1,
INC-00188,2026-05-26,North West,Workplace Services,Staffing shortage,Medium,Closed,7.1,13.5,Process updated
INC-00189,2026-05-25,South West,Workplace Projects,Staffing shortage,Medium,Open,2.9,18.2,
INC-00190,2026-05-24,North East,Workplace Projects,Supplier delay,Low,Closed,0.4,0.7,Documentation updated
INC-00191,2026-03-22,Wales,Estates Support,Supplier delay,High,Closed,5.6,68.7,Documentation updated
INC-00192,2026-03-05,North East,Workplace Services,Health & safety issue,Low,In Progress,4.6,17.2,
INC-00193,2026-05-06,South East,Facilities Response,Health & safety issue,High,Closed,0.9,2.7,No further action
INC-00194,2026-04-18,Scotland,Estates Support,System outage,High,Open,1.0,11.2,
INC-00195,2026-04-16,North West,Workplace Projects,Customer escalation,Low,Open,5.8,52.2,
INC-00196,2026-05-24,South East,Facilities Response,Process failure,High,Open,2.3,61.0,
INC-00197,2026-04-17,Scotland,Facilities Response,Building issue,Medium,Open,2.4,29.0,
INC-00198,2026-03-11,Wales,Facilities Response,Staffing shortage,Medium,Open,1.2,39.7,
INC-00199,2026-05-29,Scotland,Workplace Projects,Process failure,Medium,Closed,3.9,73.9,Documentation updated
INC-00200,2026-05-11,South East,Workplace Services,Staffing shortage,Medium,Closed,18.4,35.3,Process updated
INC-00201,2026-06-18,Scotland,Workplace Services,Supplier delay,Low,Closed,7.0,17.4,Process updated
INC-00202,2026-06-01,Scotland,Facilities Response,Staffing shortage,Low,Closed,5.8,15.8,Training required
INC-00203,2026-04-08,Midlands,Workplace Services,Process failure,Low,Closed,4.2,12.0,Supplier action
INC-00204,2026-05-05,South East,Workplace Projects,Health & safety issue,Low,Open,1.9,50.0,
INC-00205,2026-03-04,Midlands,Workplace Projects,Data quality issue,Low,Closed,1.8,19.6,Documentation updated
INC-00206,2026-03-20,South East,Workplace Projects,System  outage,Low,Closed,3.2,20.7,Process updated
INC-00207,2026-03-07,Scotland,Facilities Response,Data quality issue,Low,Closed,2.1,22.3,No further action
INC-00208,2026-01-23,South East,Facilities Response,Building issue,Low,Closed,1.1,3.7,No further action
INC-00209,2026-02-10,Midlands,Workplace Services,System outage,Low,Closed,1.0,16.0,No further action
INC-00210,2026-05-10,North West,Estates Support,Staffing shortage,Low,Closed,1.0,9.9,No further action
INC-00211,2026-05-09,Scotland,Workplace Projects,Data quality issue,High,Closed,4.0,53.0,Supplier action
INC-00212,2026-02-01,Scotland,Estates Support,Health & safety issue,Medium,Closed,3.2,77.8,Documentation updated
INC-00213,2026-06-07,South West,Workplace Projects,Supplier delay,Critical,Closed,3.9,4.5,Process updated
INC-00214,2026-05-11,Midlands,Workplace Services,Supplier delay,High,In Progress,31.7,44.3,
INC-00215,2026-01-09,South East,Facilities Response,Data quality issue,Low,Open,15.8,45.0,
INC-00216,2026-04-18,Midlands,Workplace Services,Process failure,Low,Closed,7.8,17.2,Documentation updated
INC-00217,2026-06-05,South East,Facilities Response,Staffing shortage,Medium,Open,12.3,36.5,
INC-00218,2026-03-23,South East,Workplace Services,Health & safety issue,Low,Closed,6.8,14.8,Supplier action
INC-00219,2026-06-12,Scotland,Workplace Services,Supplier delay,Medium,Closed,6.3,7.6,Process updated
INC-00220,2026-05-28,North East,Workplace Projects,Health & safety issue,Low,Closed,4.5,13.6,Documentation updated
INC-00221,2026-02-26,North West,Facilities Response,Data quality issue,Medium,Open,1.8,31.4,
INC-00222,2026-03-18,Wales,Estates Support,Staffing shortage,High,Closed,7.8,11.4,No further action
INC-00223,2026-03-13,Scotland,Estates Support,Process failure,Critical,Closed,9.1,11.3,Training required
INC-00224,2026-04-12,North West,Workplace Projects,Process failure,Medium,Closed,9.2,30.8,No further action
INC-00225,2026-06-22,Wales,Estates Support,Data quality issue,Medium,Closed,2.2,39.3,Documentation updated
INC-00226,2026-03-02,Scotland,Workplace Services,Health & safety issue,Low,Closed,2.6,7.1,Supplier action
INC-00227,2026-02-22,North West,Estates Support,System outage,Medium,Open,0.8,38.6,
INC-00228,2026-01-02,South West,Facilities Response,Health & safety issue,Low,In Progress,6.7,10.9,
INC-00229,2026-01-12,Midlands,Workplace Projects,Building issue,Medium,In Progress,0.8,32.8,
INC-00230,2026-06-21,Scotland,Workplace Services,System outage,Medium,Open,10.6,11.8,
INC-00231,2026-03-06,Scotland,Estates Support,Data quality issue,Low,Open,2.5,4.4,
INC-00232,2026-05-27,Wales,Workplace Services,Building issue,Low,Closed,2.4,22.0,Supplier action
INC-00233,2026-05-12,South West,Workplace Projects,Process failure,Low,Open,2.7,16.0,
INC-00234,2026-06-11,Midlands,Workplace Services,Customer escalation,Medium,Closed,0.5,1.2,Training required
INC-00235,2026-01-27,Scotland,Workplace Projects,System outage,Medium,In Progress,3.7,21.2,
INC-00236,2026-05-22,South West,Workplace Services,System outage,Medium,In Progress,4.4,39.1,
INC-00237,2026-04-23,North East,Estates Support,System outage,High,Closed,6.1,23.8,Training required
INC-00238,2026-04-17,Scotland,Workplace Services,Building issue,Low,Closed,3.7,5.2,Supplier action
INC-00239,2026-02-28,Midlands,Workplace Services,Health & safety issue,Low,Closed,0.5,8.0,Documentation updated
INC-00240,2026-01-01,North West,Estates Support,Health & safety issue,Low,In Progress,4.7,16.5,
INC-00241,2026-06-10,South East,Estates Support,Building issue,High,Closed,9.4,11.0,Documentation updated
INC-00242,2026-06-24,Scotland,Estates Support,Supplier delay,High,Closed,10.2,59.5,No further action
INC-00243,2026-03-23,Scotland,Estates Support,Data quality issue,Low,Closed,0.6,1.7,Process updated
INC-00244,2026-06-16,North West,Workplace Services,Supplier delay,Medium,Closed,5.0,5.2,Training required
INC-00245,2026-02-20,Wales,Workplace Services,Staffing shortage,Low,Open,3.9,20.9,
INC-00246,2026-04-03,Scotland,Workplace Projects,Supplier delay,Critical,Closed,18.0,56.3,Supplier action
INC-00247,2026-03-06,Scotland,Estates Support,Building issue,Low,Closed,1.2,9.1,Process updated
INC-00248,2026-02-07,South East,Facilities Response,Data quality issue,High,Closed,1.5,25.4,Training required
INC-00249,2026-01-30,Midlands,Facilities Response,Staffing shortage,Low,Open,3.4,21.3,
INC-00250,2026-01-23,North West,Workplace Projects,Staffing shortage,Low,Closed,0.4,6.7,Training required
INC-00251,2026-06-05,Midlands,Workplace Projects,System outage,Low,Closed,10.6,15.8,Training required
INC-00252,2026-05-26,South West,Estates Support,Staffing shortage,Low,Closed,1.7,15.9,Documentation updated
INC-00253,2026-05-16,North West,Workplace Projects,Process failure,Medium,Closed,1.1,4.4,Training required
INC-00254,2026-03-10,North East,Workplace Projects,Staffing shortage,Medium,In Progress,2.9,3.6,
INC-00255,2026-04-17,North West,Facilities Response,Process failure,Low,Closed,0.9,9.3,Training required
INC-00256,2026-05-02,Scotland,Facilities Response,Staffing shortage,Low,Open,18.8,28.7,
INC-00257,2026-01-29,North West,Estates Support,System outage,Low,In Progress,12.7,31.4,
INC-00258,2026-03-10,North East,Workplace Services,Building issue,Medium,In Progress,9.5,20.0,
INC-00259,2026-02-11,South East,Workplace Services,System outage,Low,In Progress,1.8,5.8,
INC-00260,2026-02-13,South East,Workplace Projects,Data quality issue,Low,In Progress,2.4,14.8,
INC-00261,2026-05-19,North East,Workplace Services,Data quality issue,Critical,Closed,15.1,57.6,Training required
INC-00262,2026-01-19,North East,Workplace Services,Building issue,Low,Closed,4.7,34.6,Supplier action
INC-00263,2026-04-27,South West,Facilities Response,Data quality issue,Medium,In Progress,7.3,21.6,
INC-00264,2026-01-05,South East,Workplace Projects,Supplier delay,Medium,Open,18.0,71.6,
INC-00265,2026-06-03,Wales,Workplace Projects,Process failure,Medium,Closed,3.9,17.2,Supplier action
INC-00266,2026-06-28,Wales,Estates Support,Staffing shortage,Low,Open,6.1,14.3,
INC-00267,2026-03-14,Scotland,Workplace Services,System outage,Low,Closed,8.2,9.0,Supplier action
INC-00268,2026-03-10,Midlands,Facilities Response,Customer escalation,Low,Closed,2.6,17.3,Supplier action
INC-00269,2026-03-08,South West,Facilities Response,Building issue,Medium,Open,8.7,14.6,
INC-00270,2026-01-30,Wales,Estates Support,Supplier delay,Critical,Closed,26.1,43.7,Supplier action
INC-00271,2026-03-06,North West,Workplace Services,Building issue,Medium,In Progress,7.5,33.9,
INC-00272,2026-05-08,South East,Workplace Services,Supplier delay,High,Closed,11.8,21.9,No further action
INC-00273,2026-06-07,Scotland,Estates Support,Staffing shortage,Low,Open,3.4,18.5,
INC-00274,2026-02-14,Wales,Estates Support,Supplier delay,High,Closed,6.8,55.2,No further action
INC-00275,2026-03-07,Scotland,Workplace Services,Customer escalation,Medium,Open,10.5,19.7,
INC-00276,2026-04-30,North West,Estates Support,Customer escalation,Low,In Progress,6.8,16.8,
INC-00277,2026-06-07,Wales,Workplace Services,Staffing shortage,Low,Closed,5.3,7.9,Training required
INC-00278,2026-01-10,South East,Facilities Response,Health & safety issue,Low,Closed,1.3,17.1,No further action
INC-00279,2026-02-22,South East,Facilities Response,Data quality issue,Medium,In Progress,12.9,35.9,
INC-00280,2026-01-12,Midlands,Facilities Response,Health & safety issue,High,Closed,11.7,21.4,Process updated
INC-00281,2026-03-20,Scotland,Workplace Services,Supplier delay,Medium,Closed,2.1,24.2,Training required
INC-00282,2026-01-08,Scotland,Workplace Services,Health & safety issue,High,In Progress,23.6,77.2,
INC-00283,2026-04-17,North West,Estates Support,Data quality issue,High,Open,21.1,108.8,
