Action_ID,Incident_ID,Date_Raised,Region,Team,Action_Type,Status,Action_Description
ACT-0076,INC-00469,2026-01-06,North West,Estates Support,Supplier management,Complete,Review process
ACT-0077,INC-00200,2026-05-11,South East,Workplace Services,Supplier management,In Progress,Update guidance
ACT-0078,INC-00069,2026-04-17,North East,Workplace Services,Training,Not Started,Assess staffing requirement
ACT-0079,INC-00254,2026-03-10,North East,Workplace Projects,Supplier management,In Progress,Review process
ACT-0080,INC-00075,2026-05-18,Midlands,Facilities Response,System improvement,Not Started,Review process
ACT-0081,INC-00368,2026-02-05,South West,Workplace Services,Documentation,Overdue,Update guidance
ACT-0082,INC-00283,2026-04-17,North West,Estates Support,Training,In Progress,Review process
ACT-0083,INC-00376,2026-05-09,South West,Workplace Projects,Process improvement,Not Started,Investigate system issue
ACT-0084,INC-00281,2026-03-20,Scotland,Workplace Services,Documentation,Overdue,Review supplier SLA
ACT-0085,INC-00351,2026-06-06,North East,Estates Support,Process improvement,In Progress,Deliver refresher training
ACT-0086,INC-00057,2026-05-13,South East,Workplace Services,Supplier management,In Progress,Deliver refresher training
ACT-0087,INC-00475,2026-05-06,South East,Workplace Projects,Process improvement,Overdue,Update guidance
ACT-0088,INC-00347,2026-03-12,North East,Facilities Response,Documentation,Complete,Deliver refresher training
ACT-0089,INC-00516,2026-01-23,North West,Estates Support,System improvement,Complete,Review process
ACT-0090,INC-00168,2026-04-14,South West,Facilities Response,Training,Not Started,Investigate system issue
ACT-0091,INC-00179,2026-04-14,North East,Workplace Projects,Documentation,Not Started,Investigate system issue
ACT-0092,INC-00338,2026-06-26,Midlands,Workplace Services,,In Progress,Assess staffing requirement
ACT-0093,INC-00431,2026-01-16,South West,Facilities Response,Process improvement,Not Started,Review supplier SLA
ACT-0094,INC-00014,2026-01-15,South East,Workplace Services,Supplier management,Overdue,Investigate system issue
ACT-0095,INC-00021,2026-01-29,Scotland,Workplace Services,System improvement,Not Started,Assess staffing requirement
ACT-0096,INC-00193,2026-05-06,South East,Facilities Response,Training,Overdue,Review process
ACT-0097,INC-00478,2026-01-17,North East,Workplace Services,Resource review,In Progress,Review process
ACT-0098,INC-00482,2026-04-10,Midlands,Estates Support,System improvement,Complete,Assess staffing requirement
ACT-0099,INC-00496,2026-01-29,South East,Workplace Services,System improvement,Not Started,Review process
ACT-0100,INC-00482,2026-04-10,Midlands,Estates Support,Supplier management,Not Started,Assess staffing requirement
ACT-0101,INC-00053,2026-02-06,Midlands,Facilities Response,Supplier management,In Progress,Update guidance
ACT-0102,INC-00248,2026-02-07,South East,Facilities Response,Documentation,Complete,Investigate system issue
ACT-0103,INC-00409,2026-01-08,Scotland,Facilities Response,Process improvement,Complete,Review supplier SLA
ACT-0104,INC-00140,2026-04-16,Scotland,Workplace Services,System improvement,Complete,Deliver refresher training
ACT-0105,INC-00083,2026-02-19,South East,Estates Support,System improvement,Complete,Assess staffing requirement
ACT-0106,INC-00166,2026-06-08,North West,Estates Support,Process improvement,Complete,Review process
ACT-0107,INC-00594,2026-01-31,North West,Facilities Response,Process improvement,Not Started,Review process
ACT-0108,INC-00435,2026-05-16,North West,Facilities Response,Documentation,Complete,Assess staffing requirement
ACT-0109,INC-00378,2026-03-03,South East,Workplace Services,Documentation,In Progress,Investigate system issue
ACT-0110,INC-00347,2026-03-12,North East,Facilities Response,Process improvement,Overdue,Investigate system issue
ACT-0111,INC-00475,2026-05-06,South East,Workplace Projects,Training,Overdue,Review process
ACT-0112,INC-00338,2026-06-26,Midlands,Workplace Services,System improvement,Overdue,Deliver refresher training
ACT-0113,INC-00492,2026-02-11,North East,Workplace Services,Process improvement,Not Started,Deliver refresher training
ACT-0114,INC-00223,2026-03-13,Scotland,Estates Support,Supplier management,Complete,Review process
ACT-0115,INC-00044,2026-02-23,Midlands,Estates Support,System improvement,Overdue,Deliver refresher training
ACT-0116,INC-00332,2026-04-11,Scotland,Workplace Services,Process improvement,Not Started,Review process
ACT-0117,INC-00432,2026-04-04,Midlands,Estates Support,Resource review,Not Started,Assess staffing requirement
ACT-0118,INC-00463,2026-05-22,North West,Estates Support,Documentation,Overdue,Update guidance
ACT-0119,INC-00369,2026-04-19,Midlands,Facilities Response,Resource review,Complete,Assess staffing requirement
ACT-0120,INC-00462,2026-05-25,Wales,Facilities Response,System improvement,Overdue,Assess staffing requirement
ACT-0121,INC-00099,2026-06-01,Midlands,Estates Support,System improvement,Not Started,Review supplier SLA
ACT-0122,INC-00493,2026-01-22,Scotland,Facilities Response,Training,Complete,Investigate system issue
ACT-0123,INC-00221,2026-02-26,North West,Facilities Response,Training,In Progress,Review process
ACT-0124,INC-00126,2026-03-18,North West,Workplace Services,Resource review,Not Started,Deliver refresher training
ACT-0125,INC-00600,2026-04-15,South West,Facilities Response,Process improvement,In Progress,Review supplier SLA
ACT-0126,INC-00225,2026-06-22,Wales,Estates Support,Documentation,In Progress,Assess staffing requirement
ACT-0127,INC-00316,2026-04-03,Midlands,Estates Support,Documentation,In Progress,Investigate system issue
ACT-0128,INC-00002,2026-02-05,Wales,Facilities Response,Resource review,Complete,Deliver refresher training
ACT-0129,INC-00581,2026-03-25,North West,Workplace Services,Resource review,Complete,Update guidance
ACT-0130,INC-00526,2026-04-11,North West,Facilities Response,Process improvement,Overdue,Review process
ACT-0131,INC-00381,2026-05-19,Scotland,Facilities Response,Documentation,Overdue,Deliver refresher training
ACT-0132,INC-00164,2026-03-10,South East,Workplace Services,Documentation,Overdue,Update guidance
ACT-0133,INC-00224,2026-04-12,North West,Workplace Projects,Resource review,Complete,Investigate system issue
ACT-0134,INC-00467,2026-04-08,South East,Workplace Services,Training,Overdue,Review process
ACT-0135,INC-00600,2026-04-15,South West,Facilities Response,System improvement,Not Started,Update guidance
ACT-0136,INC-00347,2026-03-12,North East,Facilities Response,System improvement,Overdue,Investigate system issue
ACT-0137,INC-00051,2026-05-15,Scotland,Workplace Services,Supplier management,Overdue,Review supplier SLA
ACT-0138,INC-00018,2026-03-10,South East,Facilities Response,Supplier management,Overdue,Review supplier SLA
ACT-0139,INC-00308,2026-01-11,North West,Workplace Projects,Documentation,Overdue,Investigate system issue
ACT-0140,INC-00160,2026-02-21,North East,Workplace Services,Supplier management,In Progress,Deliver refresher training
ACT-0141,INC-00257,2026-01-29,North West,Estates Support,Documentation,Complete,Deliver refresher training
ACT-0142,INC-00576,2026-03-02,North West,Workplace Services,Documentation,Not Started,Update guidance
ACT-0143,INC-00515,2026-04-28,South West,Workplace Projects,Supplier management,Complete,Assess staffing requirement
ACT-0144,INC-00142,2026-03-06,South East,Workplace Services,Training,Complete,Deliver refresher training
ACT-0145,INC-00041,2026-02-26,North East,Estates Support,Documentation,Not Started,Assess staffing requirement
ACT-0146,INC-00182,2026-03-11,South East,Workplace Services,Documentation,Not Started,Assess staffing requirement
ACT-0147,INC-00113,2026-03-27,North East,Workplace Services,Documentation,Not Started,Review process
ACT-0148,INC-00162,2026-06-18,South West,Workplace Projects,Resource review,In Progress,Review process
ACT-0149,INC-00403,2026-06-19,South East,Workplace Services,Documentation,Complete,Review process
ACT-0150,INC-00479,2026-04-28,North West,Workplace Projects,System improvement,Not Started,Assess staffing requirement
